VM 2026 – konkurranse,,,,,,,
"Tippeark basert på EM 2024-oppsettet – tilpassa VM 2026 med 48 lag, 12 grupper og 104 kampar.",,,,,,,
,,,,,,,
"Gruppespel: 5p rett utfall (H/U/B), 25p rett teikn + rett resultat. Straffekonk tel ikkje.",,,,,,,
,,,,,,,
Dato,Gruppe,Heimelag,Bortelag,Stadion,Tips H,Tips B,Tips teikn
2026-06-21,Group G,Belgium,IR Iran,Los Angeles Stadium,,,
2026-06-21,Group G,New Zealand,Egypt,BC Place Vancouver,,,
2026-06-26,Group G,Egypt,IR Iran,Seattle Stadium,,,
2026-06-26,Group G,New Zealand,Belgium,BC Place Vancouver,,,
2026-06-15,Group H,Saudi Arabia,Uruguay,Miami Stadium,,,
2026-06-15,Group H,Spain,Cabo Verde,Atlanta Stadium,,,
2026-06-21,Group H,Uruguay,Cabo Verde,Miami Stadium,,,
2026-06-21,Group H,Spain,Saudi Arabia,Atlanta Stadium,,,
2026-06-26,Group H,Cabo Verde,Saudi Arabia,Houston Stadium,,,
2026-06-26,Group H,Uruguay,Spain,Estadio Guadalajara,,,
2026-06-16,Group I,France,Senegal,New York New Jersey Stadium,,,
2026-06-16,Group I,Iraq,Norway,Boston Stadium,,,
2026-06-22,Group I,Norway,Senegal,New York New Jersey Stadium,,,
2026-06-22,Group I,France,Iraq,Philadelphia Stadium,,,
2026-06-26,Group I,Norway,France,Boston Stadium,,,
2026-06-26,Group I,Senegal,Iraq,Toronto Stadium,,,
2026-06-16,Group J,Argentina,Algeria,Kansas City Stadium,,,
2026-06-16,Group J,Austria,Jordan,San Francisco Bay Area Stadium,,,
2026-06-22,Group J,Argentina,Austria,Dallas Stadium,,,
2026-06-22,Group J,Jordan,Algeria,San Francisco Bay Area Stadium,,,
2026-06-27,Group J,Algeria,Austria,Kansas City Stadium,,,
2026-06-27,Group J,Jordan,Argentina,Dallas Stadium,,,
2026-06-17,Group K,Portugal,Congo DR,Houston Stadium,,,
2026-06-17,Group K,Uzbekistan,Colombia,Mexico City Stadium,,,
2026-06-23,Group K,Portugal,Uzbekistan,Houston Stadium,,,
2026-06-23,Group K,Colombia,Congo DR,Estadio Guadalajara,,,
2026-06-27,Group K,Colombia,Portugal,Miami Stadium,,,
2026-06-27,Group K,Congo DR,Uzbekistan,Atlanta Stadium,,,
2026-06-17,Group L,Ghana,Panama,Toronto Stadium,,,
2026-06-17,Group L,England,Croatia,Dallas Stadium,,,
2026-06-23,Group L,England,Ghana,Boston Stadium,,,
2026-06-23,Group L,Panama,Croatia,Toronto Stadium,,,
2026-06-27,Group L,Panama,England,New York New Jersey Stadium,,,
2026-06-27,Group L,Croatia,Ghana,Philadelphia Stadium,,,
,,,,,,,
,,,,,,,
32-delsfinale / Round of 32-lag (10p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
,,,,,,,
Åttedelsfinalistar / Round of 16-lag (15p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
,,,,,,,
Kvartfinalistar (20p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
,,,,,,,
Semifinalistar (25p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
,,,,,,,
Finalistar (40p for kvart rette lag),,,,,,,
1,,,,,,,
2,,,,,,,
,,,,,,,
Vinnar (50p for kvart rette lag),,,,,,,
1,,,,,,,
,,,,,,,
,,,,,,,
Bonusspørsmål,,,,,,,
Spørsmål,Tips,Fasit,Poengregel,,,,
TOPPSCORAR,,,8p per mål. Straffekonk tel ikkje,,,,
Mest innslupne mål / verste forsvar,,,5p per mål. Straffekonk tel ikkje,,,,
Kva spelar får det første raude kortet i VM?,,,40p rett spelar,,,,
Kva lag får flest raude kort?,,,10p for kvart kort,,,,
